name,category,standard
375 Holland & Holland Magnum,rifle,CIP
375 Weatherby Magnum,rifle,CIP
378 Weatherby Magnum,rifle,CIP
400 Holland & Holland Belted Magnum,rifle,CIP
416 Remington Magnum,rifle,CIP
416 Taylor Magnum,rifle,CIP
416 Weatherby Magnum,rifle,CIP
450 Marlin,rifle,CIP
458 Lott,rifle,CIP
458 Winchester Magnum,rifle,CIP
460 Weatherby Magnum,rifle,CIP
465 Holland & Holland Belted Magnum,rifle,CIP
4mm Randz. court,rimfire,CIP
4mm Randz. long,rimfire,CIP
5mm Remington Magnum,rimfire,CIP
5.6mm (22) Flobert à balle,rimfire,CIP
5.6mm Flobert à plombs SC,rimfire,CIP
5.6mm Flobert à plombs DC,rimfire,CIP
6mm Flobert à balle,rimfire,CIP
6mm Flobert à balle DC,rimfire,CIP
6mm ME Flobert court,rimfire,CIP
9mm Flobert à balle,rimfire,CIP
9mm Flobert à plombs Carton,rimfire,CIP
9mm Flobert à plombs Metal,rimfire,CIP
22 Bulleted Breech Cap,rimfire,CIP
22 Conical Ball Cap,rimfire,CIP
22 Long,rimfire,CIP
22 Extra Long,rimfire,CIP
22 Extra L.R.,rimfire,CIP
22 Long Shot,rimfire,CIP
22 Long Rifle Shot Claybirding,rimfire,CIP
22 Remington Automatic,rimfire,CIP
22 Winchester Automatic,rimfire,CIP
22 Winchester Magnum Rimfire et 22 Remington Special,rimfire,CIP
17 Hornady Magnum Rimfire,rimfire,CIP
17 Mach 2,rimfire,CIP
17 Winchester Super Magnum,rimfire,CIP
22 Long Rifle,rimfire,CIP
22 Short,rimfire,CIP
22 Winchester Magnum Rimfire,rimfire,CIP
4/82,shotshell,CIP
4/101,shotshell,CIP
8/82,shotshell,CIP
8/100,shotshell,CIP
10/76,shotshell,CIP
10/82,shotshell,CIP
10/89,shotshell,CIP
12/35 T,shotshell,CIP
12/50 SAPL,shotshell,CIP
12/60,shotshell,CIP
12/65,shotshell,CIP
12/67,shotshell,CIP
12/70,shotshell,CIP
12/73,shotshell,CIP
12/76,shotshell,CIP
12/89,shotshell,CIP
14/65,shotshell,CIP
14/67,shotshell,CIP
14/70,shotshell,CIP
16/65,shotshell,CIP
16/67,shotshell,CIP
16/70,shotshell,CIP
16/76,shotshell,CIP
20/65,shotshell,CIP
20/67,shotshell,CIP
20/70,shotshell,CIP
20/76,shotshell,CIP
20/89,shotshell,CIP
24/63.50,shotshell,CIP
24/65,shotshell,CIP
24/70,shotshell,CIP
28/58.50,shotshell,CIP
28/63.50,shotshell,CIP
28/65,shotshell,CIP
28/70,shotshell,CIP
28/76,shotshell,CIP
32/50.70,shotshell,CIP
32/60,shotshell,CIP
32/63.5,shotshell,CIP
32/65,shotshell,CIP
32/70,shotshell,CIP
32/65 RUS,shotshell,CIP
32/70 RUS,shotshell,CIP
410/50.70,shotshell,CIP
410/63.50,shotshell,CIP
410/65,shotshell,CIP
410/70,shotshell,CIP
410/73,shotshell,CIP
410/76,shotshell,CIP
6 mm Centrale FALCO,shotshell,CIP
8 mm C.F.,shotshell,CIP
8/47.5 mm C.F.,shotshell,CIP
9 mm C.F.,shotshell,CIP
9 mm C.F. Mori,shotshell,CIP
